ticker,sector,source,sections_found,call_date,event_date,ew_risk_score,hedge_density,neg_sentiment,backward_ratio,sentiment_trajectory,actual_1d,actual_3d,actual_5d,signal,correct_1d,correct_3d,correct_5d
PFE,Healthcare,edgar,False,2025-12-16,2025-12-16,37.92,1.7586,0.0652,0.1224,0.1655,-0.034052,-0.052592,-0.04616,NEUTRAL,,,
PFE,Healthcare,edgar,False,2026-02-03,2026-02-03,40.04,0.3428,0.1292,0.5143,0.1316,-0.033383,-0.006377,0.014629,NEUTRAL,,,
PSX,Energy,edgar,False,2025-05-15,2025-05-15,31.32,1.9324,0.0,0.2222,0.3399,0.000561,-0.010767,-0.094971,NEUTRAL,,,
PSX,Energy,edgar,False,2025-05-21,2025-05-21,41.57,0.823,0.1034,0.5,0.1977,-0.075434,-0.064268,-0.067246,NEUTRAL,,,
PSX,Energy,edgar,False,2025-07-25,2025-07-25,31.28,0.6029,0.0526,0.5614,0.212,0.005229,0.032899,-0.005952,NEUTRAL,,,
PSX,Energy,edgar,False,2025-09-09,2025-09-09,31.86,1.2563,0.0455,0.2857,0.3111,0.015974,0.01774,0.007449,NEUTRAL,,,
PSX,Energy,edgar,False,2025-10-29,2025-10-29,40.25,0.6135,0.1061,0.54,0.1492,0.03247,0.018555,0.015637,NEUTRAL,,,
PSX,Energy,edgar,False,2026-02-04,2026-02-04,43.09,0.5343,0.1176,0.6154,0.1546,0.044568,0.065568,0.062259,NEUTRAL,,,
SBUX,Consumer,motleyfool,True,2024-04-30,2024-04-30,31.52,0.5463,0.0986,0.2792,0.3192,0.001811,-0.151704,-0.174686,NEUTRAL,,,
SBUX,Consumer,motleyfool,True,2024-07-30,2024-07-30,26.99,0.6928,0.068,0.2342,0.3042,0.00984,-0.001197,-0.017819,NEUTRAL,,,
SBUX,Consumer,motleyfool,True,2024-10-30,2024-10-30,27.9,0.7616,0.0567,0.3131,0.1684,-0.000719,0.015197,-0.00308,NEUTRAL,,,
SBUX,Consumer,motleyfool,True,2025-01-28,2025-01-28,22.36,0.5466,0.0441,0.2941,0.3005,0.003899,0.089782,0.081384,NEUTRAL,,,
SBUX,Consumer,edgar,False,2025-07-29,2025-07-29,55.16,0.6601,0.2048,0.4545,0.2243,-0.00758,-0.048148,-0.041529,NEGATIVE,True,True,True
SBUX,Consumer,edgar,False,2025-09-25,2025-09-25,28.75,0.6579,0.0882,0.1818,-0.2122,-0.005221,0.016257,0.001543,NEUTRAL,,,
